Survey Measurements,
Parcel ID,#1982242
,
Distance on Traverse (m),Measurement to boundary (m)
0,138.43
3.27,139.91
6.54,141.11
9.81,142.33
13.08,140.99
16.35,140.46
19.62,136.71
22.89,130.29
26.16,130.66
29.43,131.88
32.7,132.27
35.97,132.87
39.24,133.56
42.51,130.61
45.78,127.46
49.05,121.98
52.32,121.28
55.59,117.14
58.86,115.98
62.13,115.76
65.4,114.73
68.67,119.23
71.94,121.21
75.21,123.91
78.48,127.56
81.75,136.23
85.02,135.15
88.29,131.35
91.56,133
94.83,134.8
98.1,134.2
101.37,136.69
104.64,133.55
107.91,137.82
111.18,143.28
114.45,140.73
117.72,135.96
120.99,131.17
124.26,125.93
127.53,123.29
130.8,121.1
134.07,120.63
137.34,120.26
140.61,120.24
143.88,118.91
147.15,118
150.42,115.91
153.69,110.88
156.96,109.85
160.23,102.37
163.5,99.58
166.77,97.9
170.04,99.13
173.31,98.33
176.58,97.25
179.85,98.52
183.12,98.22
186.39,98.08
189.66,98.32
192.93,98.19
196.2,97.66
199.47,98.38
202.74,97.73
206.01,97.02
209.28,96.68
212.55,97
215.82,96.73
219.09,96.7
222.36,95.17
225.63,95.93
228.9,95.81
232.17,96.13
235.44,96.36
238.71,96.7
241.98,97.33
245.25,98.64
248.52,99.6
251.79,97.36
255.06,99.43
258.33,99.96
261.6,101.01
264.87,102.5
268.14,100.89
271.41,101.01
274.68,102.62
277.95,104.44
281.22,103.17
284.49,104.34
287.76,104.64
291.03,105.35
294.3,102.69
297.57,101.71
300.84,98.43
304.11,96.54
307.38,97.82
310.65,97.57
313.92,99.27
317.19,99.81
320.46,102.37
323.73,103.91
327,104.59
330.27,105.86
333.54,106.5
336.81,107.42
340.08,105.82
343.35,107.76
346.62,108.96
349.89,110.78
353.16,110.8
356.43,111.77
359.7,113.72
362.97,111.93
366.24,112.86
369.51,111.28
372.78,110.87
376.05,110.73
379.32,110.65
382.59,109.85
385.86,107.62
389.13,106.1
392.4,104.64
395.67,100.46
398.94,99.04
402.21,95.83
405.48,94.65
408.75,93.54
412.02,94.05
415.29,92.71
418.56,92.51
421.83,91.62
425.1,91.75
428.37,90.98
431.64,91.14
434.91,91.21
438.18,90.73
441.45,90.92
444.72,89.76
447.99,92.82
451.26,93.34
454.53,93.72
457.8,94.1
461.07,94.91
464.34,94.05
467.61,95.95
470.88,96.13
474.15,97.25
477.42,96.29
480.69,99.21
483.96,98.75
487.23,98.55
490.5,99.84
493.77,100.57
497.04,103.6
500.31,107.09
503.58,108.4
506.85,110.47
510.12,111.06
513.39,113.72
516.66,117.35
519.93,121.07
523.2,123.37
526.47,128.88
529.74,129.49
533.01,131.08
536.28,130.84
539.55,130.33
542.82,130.67
546.09,133.42
549.36,133.64
552.63,133.66
555.9,133.44
559.17,134.42
562.44,134.22
565.71,134.63
568.98,132.45
572.25,131.5
575.52,131.6
578.79,133.21
582.06,134.08
585.33,135.23
