"Location: W086 55, N40 26",,,,,Astronomical Applications Dept.
"WEST LAFAYETTE, INDIANA",,,,,U. S. Naval Observatory
Rise and Set for the Sun for 2018,,,,,"Washington, DC  20392-5420"
,,,,,
"Eastern Standard Time, adjusted for Daylight Saving Time on Days of Year 70 - 307",,,,,
# Day of Week denotes the Day of Year's weekday using a number.,,,,,
"# Sunday = 1, Monday = 2, etc. ",,,,,
Day of Year,Sunrise Time (hhmm),Sunset Time (hhmm),Day of Week,,
1,811,1732,2,,
2,811,1733,3,,
3,811,1734,4,,
4,811,1735,5,,
5,811,1736,6,,
6,811,1737,7,,
7,811,1738,1,,
8,811,1739,2,,
9,810,1740,3,,
10,810,1741,4,,
11,810,1742,5,,
12,810,1743,6,,
13,809,1744,7,,
14,809,1745,1,,
15,809,1746,2,,
16,808,1747,3,,
17,808,1748,4,,
18,807,1749,5,,
19,807,1751,6,,
20,806,1752,7,,
21,806,1753,1,,
22,805,1754,2,,
23,804,1755,3,,
24,803,1757,4,,
25,803,1758,5,,
26,802,1759,6,,
27,801,1800,7,,
28,800,1801,1,,
29,800,1803,2,,
30,759,1804,3,,
31,758,1805,4,,
32,757,1806,5,,
33,756,1807,6,,
34,755,1809,7,,
35,754,1810,1,,
36,753,1811,2,,
37,752,1812,3,,
38,750,1814,4,,
39,749,1815,5,,
40,748,1816,6,,
41,747,1817,7,,
42,746,1818,1,,
43,745,1820,2,,
44,743,1821,3,,
45,742,1822,4,,
46,741,1823,5,,
47,739,1824,6,,
48,738,1826,7,,
49,737,1827,1,,
50,735,1828,2,,
51,734,1829,3,,
52,733,1830,4,,
53,731,1831,5,,
54,730,1833,6,,
55,728,1834,7,,
56,727,1835,1,,
57,725,1836,2,,
58,724,1837,3,,
59,722,1838,4,,
60,721,1839,5,,
61,719,1841,6,,
62,718,1842,7,,
63,716,1843,1,,
64,715,1844,2,,
65,713,1845,3,,
66,712,1846,4,,
67,710,1847,5,,
68,708,1848,6,,
69,707,1849,7,,
70,805,1950,1,,
71,804,1952,2,,
72,802,1953,3,,
73,800,1954,4,,
74,759,1955,5,,
75,757,1956,6,,
76,756,1957,7,,
77,754,1958,1,,
78,752,1959,2,,
79,751,2000,3,,
80,749,2001,4,,
81,747,2002,5,,
82,746,2003,6,,
83,744,2004,7,,
84,742,2005,1,,
85,741,2006,2,,
86,739,2007,3,,
87,737,2008,4,,
88,736,2009,5,,
89,734,2010,6,,
90,733,2011,7,,
91,731,2013,1,,
92,729,2014,2,,
93,728,2015,3,,
94,726,2016,4,,
95,724,2017,5,,
96,723,2018,6,,
97,721,2019,7,,
98,720,2020,1,,
99,718,2021,2,,
100,717,2022,3,,
101,715,2023,4,,
102,713,2024,5,,
103,712,2025,6,,
104,710,2026,7,,
105,709,2027,1,,
106,707,2028,2,,
107,706,2029,3,,
108,704,2030,4,,
109,703,2031,5,,
110,701,2032,6,,
111,700,2033,7,,
112,659,2034,1,,
113,657,2035,2,,
114,656,2036,3,,
115,654,2037,4,,
116,653,2038,5,,
117,652,2039,6,,
118,650,2040,7,,
119,649,2041,1,,
120,648,2043,2,,
121,647,2044,3,,
122,645,2045,4,,
123,644,2046,5,,
124,643,2047,6,,
125,642,2048,7,,
126,640,2049,1,,
127,639,2050,2,,
128,638,2051,3,,
129,637,2052,4,,
130,636,2053,5,,
131,635,2054,6,,
132,634,2055,7,,
133,633,2056,1,,
134,632,2057,2,,
135,631,2057,3,,
136,630,2058,4,,
137,629,2059,5,,
138,628,2100,6,,
139,628,2101,7,,
140,627,2102,1,,
141,626,2103,2,,
142,625,2104,3,,
143,625,2105,4,,
144,624,2106,5,,
145,623,2106,6,,
146,623,2107,7,,
147,622,2108,1,,
148,621,2109,2,,
149,621,2110,3,,
150,620,2110,4,,
151,620,2111,5,,
152,619,2112,6,,
153,619,2113,7,,
154,619,2113,1,,
