Airport Origin,City,State,Departure Delay (min)
BOS,Boston,MA,3
BOS,Boston,MA,27
BOS,Boston,MA,-2
BOS,Boston,MA,7
BOS,Boston,MA,-13
BOS,Boston,MA,-2
BOS,Boston,MA,1
BOS,Boston,MA,-2
BOS,Boston,MA,3
BOS,Boston,MA,-5
BOS,Boston,MA,28
BOS,Boston,MA,5
BOS,Boston,MA,25
BOS,Boston,MA,1
BOS,Boston,MA,-1
BOS,Boston,MA,-4
BOS,Boston,MA,-2
BOS,Boston,MA,-3
BOS,Boston,MA,-3
BOS,Boston,MA,-5
BOS,Boston,MA,-3
BOS,Boston,MA,27
BOS,Boston,MA,-2
BOS,Boston,MA,29
BOS,Boston,MA,1
BOS,Boston,MA,-5
BOS,Boston,MA,-2
BOS,Boston,MA,23
BOS,Boston,MA,-1
BOS,Boston,MA,-4
BOS,Boston,MA,-4
BOS,Boston,MA,-4
BOS,Boston,MA,0
BOS,Boston,MA,-1
BOS,Boston,MA,0
BOS,Boston,MA,-1
BOS,Boston,MA,6
BOS,Boston,MA,-3
BOS,Boston,MA,-6
BOS,Boston,MA,-3
BOS,Boston,MA,-7
BOS,Boston,MA,9
BOS,Boston,MA,-2
BOS,Boston,MA,70
BOS,Boston,MA,93
BOS,Boston,MA,-4
BOS,Boston,MA,-6
BOS,Boston,MA,-6
BOS,Boston,MA,-8
BOS,Boston,MA,-2
BOS,Boston,MA,-7
BOS,Boston,MA,1
BOS,Boston,MA,-6
BOS,Boston,MA,28
BOS,Boston,MA,176
BOS,Boston,MA,31
BOS,Boston,MA,13
BOS,Boston,MA,148
BOS,Boston,MA,86
BOS,Boston,MA,-5
BOS,Boston,MA,-1
BOS,Boston,MA,0
BOS,Boston,MA,-3
BOS,Boston,MA,-4
BOS,Boston,MA,-5
BOS,Boston,MA,111
BOS,Boston,MA,-7
BOS,Boston,MA,102
BOS,Boston,MA,70
BOS,Boston,MA,7
BOS,Boston,MA,4
BOS,Boston,MA,-8
BOS,Boston,MA,1
BOS,Boston,MA,-4
BOS,Boston,MA,-2
BOS,Boston,MA,13
BOS,Boston,MA,11
BOS,Boston,MA,107
BOS,Boston,MA,-4
BOS,Boston,MA,-1
BOS,Boston,MA,105
BOS,Boston,MA,10
BOS,Boston,MA,3
BOS,Boston,MA,-4
BOS,Boston,MA,-3
BOS,Boston,MA,2
BOS,Boston,MA,0
BOS,Boston,MA,11
BOS,Boston,MA,-1
BOS,Boston,MA,-3
BOS,Boston,MA,-5
BOS,Boston,MA,1
BOS,Boston,MA,2
BOS,Boston,MA,-5
BOS,Boston,MA,-4
BOS,Boston,MA,-3
BOS,Boston,MA,3
BOS,Boston,MA,-1
BOS,Boston,MA,-4
MSP,Minneapolis,MN,-1
MSP,Minneapolis,MN,-5
MSP,Minneapolis,MN,121
MSP,Minneapolis,MN,66
MSP,Minneapolis,MN,15
MSP,Minneapolis,MN,-11
MSP,Minneapolis,MN,4
MSP,Minneapolis,MN,25
MSP,Minneapolis,MN,-5
MSP,Minneapolis,MN,-6
MSP,Minneapolis,MN,19
MSP,Minneapolis,MN,11
MSP,Minneapolis,MN,20
MSP,Minneapolis,MN,-5
MSP,Minneapolis,MN,-5
MSP,Minneapolis,MN,1
MSP,Minneapolis,MN,20
MSP,Minneapolis,MN,-5
MSP,Minneapolis,MN,-7
MSP,Minneapolis,MN,-1
MSP,Minneapolis,MN,-2
MSP,Minneapolis,MN,27
MSP,Minneapolis,MN,-4
MSP,Minneapolis,MN,1
MSP,Minneapolis,MN,-1
MSP,Minneapolis,MN,5
MSP,Minneapolis,MN,30
MSP,Minneapolis,MN,-4
MSP,Minneapolis,MN,-1
MSP,Minneapolis,MN,28
MSP,Minneapolis,MN,-7
MSP,Minneapolis,MN,-10
MSP,Minneapolis,MN,-6
MSP,Minneapolis,MN,-2
MSP,Minneapolis,MN,6
MSP,Minneapolis,MN,-5
MSP,Minneapolis,MN,-6
MSP,Minneapolis,MN,35
MSP,Minneapolis,MN,24
MSP,Minneapolis,MN,54
MSP,Minneapolis,MN,0
